Literal	Correct
He ran a ___	mile
She found a ___	juice
He jumped a ___	yard
She gave the ___	letter
He mapped the ___	location
She grasped the ___	fork
He kicked his ___	table
She yelled a ___	little
He cried a ___	lot
She shot the ___	deer
He looped his ___	lace
She earned the ___	trophy
He reached an  ___	accomplishment
She grew an ___	inch
He thrashed his ___	teeth
She operated the ___	tractor
He billed the ___	customer
She peeled a ___	pear
He offended his ___	father
She glued the ___	paper
